ID,Texto da Súmula,Data de Aprovação
sumula 128, É indevida a taxa de assistência médica e hospitalar das instituições de previdência social.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 130," A taxa de despacho aduaneiro (art. 66 da L. 3.244, de 14.8.57) continua a ser exigível após o Dec. Legisl. 14, de 25.8.60, que aprovou alterações introduzidas no Acordo Geral sôbre Tarifas Aduaneiras e Comércio (GATT). ",1963-12-13
sumula 132, Não é devida a taxa de previdência social na importação de amianto bruto ou em fibra. ,1963-12-13
sumula 133, Não é devida a taxa de despacho aduaneiro na importação de fertilizantes e inseticidas. ,1963-12-13
sumula 134, A isenção fiscal para a importação de frutas da Argentina compreende a taxa de despacho aduaneiro e a taxa de previdência social.,1963-12-13
sumula 135, É inconstitucional a taxa de eletrificação de Pernambuco. ,1963-12-13
sumula 136, É constitucional a taxa de estatística da Bahia. ,1963-12-13
sumula 137, A taxa de fiscalização da exportação incide sôbre a bonificação cambial concedida ao exportador. ,1963-12-13
sumula 138," É inconstitucional a taxa contra fogo, do estado de Minas Gerais, incidente sôbre prêmio de seguro contra fogo. ",1963-12-13
sumula 139," É indevida a cobrança do impôsto de transação a que se refere a L. 899, de 1957, art. 58, IV, letra e, do antigo Distrito Federal. ",1963-12-13
sumula 140, Na importação de lubrificantes é devida a taxa de previdência social. ,1963-12-13
sumula 141, Não incide a taxa de previdência social sôbre combustíveis. ,1963-12-13
sumula 142, Não é devida a taxa de previdência social sôbre mercadorias isentas do impôsto de importação. ,1963-12-13
sumula 143," Na forma da lei estadual, é devido o impôsto de vendas e consignações na exportação de café pelo Estado da Guanabara, embora proveniente de outro Estado.",1963-12-13
sumula 144, É inconstitucional a incidência da taxa de recuperação econômica de Minas Gerais sôbre contrato sujeito ao impôsto federal do sêlo.,1963-12-13
sumula 145," Não há crime, quando a preparação do flagrante pela polícia torna impossível a sua consumação. ",1963-12-13
sumula 146," A prescrição da ação penal regula-se pela pena concretizada na sentença, quando não há recurso da acusação. ",1963-12-13
sumula 147," A prescrição de crime falimentar começa a correr da data em que deveria estar encerrada a falência, ou do trânsito em julgado da sentença que a encerrar ou que julgar cumprida a concordata. ",1963-12-13
sumula 148, É legítimo o aumento de tarifas portuárias por ato do Ministro da Viação e Obras Públicas. ,1963-12-13
sumula 149," É imprescritível a ação de investigação de paternidade, mas não o é a de petição de herança. ",1963-12-13
sumula 150, Prescreve a execução no mesmo prazo de prescrição da ação. ,1963-12-13
sumula 151, Prescreve em um ano a ação do segurador subrogado para haver indenização por extravio ou perda de carga transportada por navio. ,1963-12-13
sumula 152," A ação para anular venda de ascendente a descendente, sem consentimento dos demais, prescreve em quatro anos a contar da abertura da sucessão. (Revogada) ",1963-12-13
sumula 153, Simples protesto cambiário não interrompe a prescrição. ,1963-12-13
sumula 154, Simples vistoria não interrompe a prescrição. ,1963-12-13
sumula 155, É relativa a nulidade do processo criminal por falta de intimação da expedição de precatória para inquirição de testemunha. ,1963-12-13
sumula 156," É absoluta a nulidade do julgamento, pelo júri, por falta de quesito obrigatório. ",1963-12-13
sumula 157," É necessária prévia autorização do Presidente da República para desapropriação, pelos Estados, de emprêsa de energia elétrica. ",1963-12-13
sumula 158," Salvo estipulação contratual averbada no registro imobiliário, não responde o adquirente pelas benfeitorias do locatário. ",1963-12-13
sumula 159," Cobrança excessiva, mas de boa-fé, não dá lugar às sanções do art. 1.531 do Código Civil. ",1963-12-13
sumula 160," É nula a decisão do Tribunal que acolhe, contra o réu, nulidade não argüida no recurso da acusação, ressalvados os casos de recurso de ofício. ",1963-12-13
sumula 161," Em contrato de transporte, é inoperante a cláusula de não indenizar. ",1963-12-13
sumula 162," É absoluta a nulidade do julgamento pelo júri, quando os quesitos da defesa não precedem aos das circunstâncias agravantes. ",1963-12-13
sumula 163," Salvo contra a Fazenda Pública, sendo a obrigação ilíquida, contam-se os juros moratórios desde a citação inicial para a ação. ",1963-12-13
sumula 164," No processo de desapropriação, são devidos juros compensatórios desde a antecipada imissão de posse, ordenada pelo juiz, por motivo de urgência. ",1963-12-13
sumula 165," A venda realizada diretamente pelo mandante ao mandatário não é atingida pela nulidade do art. 1.133, II, do Código Civil. ",1963-12-13
sumula 166," É inadmissível o arrependimento no compromisso de compra e venda sujeito ao regime do Dl. 58, de 10.12.37. ",1963-12-13
sumula 167," Não se aplica o regime do Dl. 58, de 10.12.37, ao compromisso de compra e venda não inscrito no registro imobiliário, salvo se o promitente vendedor se obrigou a efetuar o registro. ",1963-12-13
sumula 168," Para os efeitos do Dl. 58, de 10.12.37, admite-se a inscrição imobiliária do compromisso de compra e venda no curso da ação. ",1963-12-13
sumula 169, Depende de sentença a aplicação da pena de comisso.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 172," Não se admite, na locação em curso, de prazo determinado, o reajustamento de aluguel a que se refere a L. 3.085, de 29.12.56. ",1963-12-13
sumula 173," Em caso de obstáculo judicial admite-se a purga da mora, pelo locatário, além do prazo legal.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 176," O promitente comprador, nas condições previstas na L. 1.300, de 28-12-50, pode retomar o imóvel locado. ",1963-12-13
sumula 177," O cessionário do promitente comprador, nas mesmas condições dêste, pode retomar o imóvel locado.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 179," O aluguel arbitrado judicialmente nos têrmos da L. 3.085, de 29.12.56, art. 6º, vigora a partir da data do laudo pericial.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 181," Na retomada, para construção mais útil de imóvel sujeito ao D. 24.150, de 20.4.34, é sempre devida indenização para despesas de mudança do locatário.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 183, Não se incluem no reajustamento pecuário dívidas estranhas à atividade agropecuária.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 185," Em processo de reajustamento pecuário, não responde a União pelos honorários do advogado do credor ou do devedor. ",1963-12-13
sumula 186," Não infringe a lei a tolerância da quebra de 1% no transporte por estrada de ferro, prevista no regulamento de transportes. ",1963-12-13
sumula 187," A responsabilidade contratual do transportador, pelo acidente com o passageiro, não é elidida por culpa de terceiro, contra o qual tem ação regressiva. ",1963-12-13
sumula 188," O segurador tem ação regressiva contra o causador do dano, pelo que efetivamente pagou, até ao limite previsto no contrato de seguro. Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 190," O não pagamento de título vencido há mais de trinta dias, sem protesto, não impede a concordata preventiva. ",1963-12-13
sumula 191, Inclui-se no crédito habilitado em falência a multa fiscal simplesmente moratória. ,1963-12-13
sumula 192, Não se inclui no crédito habilitado em falência a multa fiscal com efeito de pena administrativa. ,1963-12-13
sumula 193," Para a restituição prevista no art. 76, § 2º, da Lei de Falências, conta-se o prazo de quinze dias da entrega da coisa e não da sua remessa. ",1963-12-13
sumula 194, É competente o Ministro do Trabalho para a especificação das atividades insalubres.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 196," Ainda que exerça atividade rural, o empregado de emprêsa industrial ou comercial é classificado de acôrdo com a categoria do empregador. ",1963-12-13
sumula 197, O empregado com representação sindical só pode ser despedido mediante inquérito em que se apure falta grave. ,1963-12-13
sumula 198, As ausências motivadas por acidente do trabalho não são descontáveis do período aquisitivo das férias. ,1963-12-13
sumula 199," O salário das férias do empregado horista corresponde à média do período aquisitivo, não podendo ser inferior ao mínimo. ",1963-12-13
sumula 200," Não é inconstitucional a L. 1.530, de 26.12.51, que manda incluir na indenização por despedida injusta parcela correspondente a férias proporcionais.",1963-12-13
sumula 201," O vendedor pracista, remunerado mediante comissão, não tem direito ao repouso semanal remunerado. ",1963-12-13
sumula 202," Na equiparação de salário, em caso de trabalho igual, toma-se em conta o tempo de serviço na função, e não no emprêgo. ",1963-12-13
sumula 203, Não está sujeita à vacância de 60 dias a vigência de novos níveis de salário mínimo. ,1963-12-13
sumula 204," Tem direito o trabalhador substituto, ou de reserva, ao salário mínimo no dia em que fica à disposição do empregador sem ser aproveitado na função específica; se aproveitado, recebe o salário contratual. ",1963-12-13
sumula 205, Tem direito a salário integral o menor não sujeito a aprendizagem metódica.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 207," As 	gratificações 	habituais, 	inclusive 	a 	de 	Natal, 	consideram-se 	tacitamente convencionadas, integrando o salário.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 209," O salário-produção, como outras modalidades de salário-prêmio, é devido, desde que verificada a condição a que estiver subordinado, e não pode ser suprimido unilateralmente, pelo empregador, quando pago com habitualidade. ",1963-12-13
sumula 210," O assistente do Ministério Público pode recorrer, inclusive extraordinariamente, na ação penal, nos casos dos arts. 584, § 1º, e 598 do Cód. de Proc. Penal.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 212, Tem direito ao adicional de serviço perigoso o empregado de posto de revenda de combustível líquido.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 214, A duração legal da hora de serviço noturno (52 minutos e trinta segundos) constitui vantagem suplementar que não dispensa o salário adicional.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 216," Para decretação da absolvição de instância pela paralisação do processo por mais de trinta dias, é necessário que o autor, previamente intimado, não promova o andamento da causa. ",1963-12-13
sumula 217," Tem direito de retornar ao emprego, ou ser indenizado em caso de recusa do empregador, o aposentado que recupera a capacidade de trabalho dentro de cinco anos, a contar da aposentadoria, que se torna definitiva após êsse prazo. ",1963-12-13
sumula 218," É competente o Juízo da Fazenda Nacional da capital do Estado, e não o da situação da coisa, para a desapropriação promovida por emprêsa de energia elétrica, se a União Federal intervém como assistente. ",1963-12-13
sumula 219," Para a indenização devida a empregado que tinha direito a ser readmitido, e não foi, levam-se em conta as vantagens advindas à sua categoria no período do afastamento. ",1963-12-13
sumula 220," A indenização devida a empregado estável, que não é readmitido, ao cessar sua aposentadoria, deve ser paga em dôbro. ",1963-12-13
sumula 221," A transferência de estabelecimento, ou a sua extinção parcial, por motivo que não seja de fôrça maior, não justifica a transferência de empregado estável. ",1963-12-13
sumula 222, O princípio da identidade física do juiz não é aplicável às Juntas de Conciliação e Julgamento da Justiça do Trabalho. ,1963-12-13
sumula 223," Concedida isenção de custas ao empregado, por elas não responde o sindicato que o representa em juízo. ",1963-12-13
sumula 224," Os juros da mora, nas reclamações trabalhistas, são contados desde a notificação inicial. ",1963-12-13
sumula 225, Não é absoluto o valor probatório das anotações da carteira profissional. ,1963-12-13
sumula 226," Na ação de desquite, os alimentos são devidos desde a inicial e não da data da decisão que os concede. ",1963-12-13
sumula 227, A concordata do empregador não impede a execução de crédito nem a reclamação de empregado na Justiça do Trabalho. ,1963-12-13
sumula 228," Não é provisória a execução na pendência de recurso extraordinário, ou de agravo destinado a fazê-lo admitir. ",1963-12-13
sumula 229," A indenização acidentária não exclui a do direito comum, em caso de dolo ou culpa grave do empregador. ",1963-12-13
sumula 230, A prescrição da ação de acidente do trabalho conta-se do exame pericial que comprovar a enfermidade ou verificar a natureza da incapacidade.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 232," Em caso de acidente do trabalho, são devidas diárias até doze meses, as quais não se confundem com a indenização acidentária nem com o auxílio-enfermidade. ",1963-12-13
sumula 233," Salvo em caso de divergência qualificada (L. 623, de 1949), não cabe recurso de embargos contra decisão que nega provimento a agravo ou não conhece de recurso extraordinário, ainda que por maioria de votos. ",1963-12-13
sumula 234, São devidos honorários de advogado em ação de acidente do trabalho julgada procedente. ,1963-12-13
sumula 235," É competente para a ação de acidente do trabalho a Justiça cível comum, inclusive em segunda instância, ainda que seja parte autarquia seguradora. ",1963-12-13
sumula 236," Em ação de acidente do trabalho, a autarquia seguradora não tem isenção de custas. ",1963-12-13
sumula 237, O usucapião pode ser argüído em defesa. ,1963-12-13
sumula 238," Em caso de acidente do trabalho, a multa pelo retardamento da liquidação é exigível do segurador sub-rogado, ainda que autarquia.  Data de Aprovação Sessão Plenária de ",1963-12-13
