ID,Texto da Súmula,Data de Aprovação
sumula 240," O depósito para recorrer, em ação de acidente do trabalho, é exigível do segurador subrogado, ainda que autarquia.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 242," O agravo no auto do processo deve ser apreciado, no julgamento da apelação, ainda que o agravante não tenha apelado.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 244, A importação de máquinas de costura está isenta do impôsto de consumo. ,1963-12-13
sumula 245, A imunidade parlamentar não se estende ao co-réu sem essa prerrogativa. ,1963-12-13
sumula 246," Comprovado não ter havido fraude, não se configura o crime de emissão de cheque sem fundos.",1963-12-13
sumula 247," O relator não admitirá os embargos da L. 623, de 19.2.49, nem deles conhecerá o Supremo Tribunal Federal, quando houver jurisprudência firme do Plenário no mesmo sentido da decisão embargada. ",1963-12-13
sumula 248," É competente, originariamente, o Supremo Tribunal Federal, para mandado de segurança contra ato do Tribunal de Contas da União. ",1963-12-13
sumula 249," É competente o Supremo Tribunal Federal para a ação rescisória, quando, embora não tendo conhecido do recurso extraordinário, ou havendo negado provimento ao agravo, tiver apreciado a questão federal controvertida. ",1963-12-13
sumula 250, A intervenção da União desloca o processo do juízo cível comum para o fazendário. ,1963-12-13
sumula 251," Responde a Rêde Ferroviária Federal S.A. perante o fôro comum e não perante o juízo especial da Fazenda Nacional, a menos que a União intervenha na causa.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 253," Nos embargos da L. 623, de 19.2.49, no Supremo Tribunal Federal, a divergência somente será acolhida, se tiver sido indicada na petição de recurso extraordinário. ",1963-12-13
sumula 254," Incluem-se os juros moratórios na liquidação, embora omisso o pedido inicial ou a condenação.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 256," É dispensável pedido expresso para condenação do réu em honorários, com fundamento nos arts. 63 ou 64 do Cód. de Proc. Civil. ",1963-12-13
sumula 257, São cabíveis honorários de advogado na ação regressiva do segurador contra o causador do dano. ,1963-12-13
sumula 258, É admissível reconvenção em ação declaratória. ,1963-12-13
sumula 259," Para produzir efeito em juízo não é necessária a inscrição, no registro público, de documentos de procedência estrangeira, autenticados por via consular. ",1963-12-13
sumula 260," O exame de livros comerciais, em ação judicial, fica limitado às transações entre os litigantes. ",1963-12-13
sumula 261," Para a ação de indenização, em caso de avaria, é dispensável que a vistoria se faça judicialmente. ",1963-12-13
sumula 262, Não cabe medida possessória liminar para liberação alfandegária de automóvel.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 266, Não cabe mandado de segurança contra lei em tese.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 268, Não cabe mandado de segurança contra decisão judicial com trânsito em julgado. ,1963-12-13
sumula 269, O mandado de segurança não é substitutivo de ação de cobrança. ,1963-12-13
sumula 270," Não cabe mandado de segurança para impugnar enquadramento da L. 3.780, de 12.7.60, que envolva exame de prova ou de situação funcional complexa. ",1963-12-13
sumula 271," Concessão de mandado de segurança não produz efeitos patrimoniais em relação a período pretérito, os quais devem ser reclamados administrativamente ou pela via judicial própria. ",1963-12-13
sumula 272, Não se admite como ordinário recurso extraordinário de decisão denegatória de mandado de segurança. ,1963-12-13
sumula 273," Nos embargos da L. 623, de 19.2.49, a divergência sôbre questão prejudicial ou preliminar, suscitada após a interposição do recurso extraordinário, ou do agravo, somente será acolhida se o acórdão-padrão fôr anterior à decisão embargada. ",1963-12-13
sumula 274, É inconstitucional a taxa de serviço contra fogo cobrada pelo Estado de Pernambuco. (Revogada) ,1963-12-13
sumula 275," Está sujeita a recurso ex officio sentença concessiva de reajustamento pecuário anterior à vigência da L. 2.804, de 25.6.56. ",1963-12-13
sumula 276, Não cabe recurso de revista em ação executiva fiscal.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 278," São cabíveis embargos em ação executiva fiscal contra decisão reformatória da de primeira instância, ainda que unânime. ",1963-12-13
sumula 279, Para simples reexame de prova não cabe recurso extraordinário. ,1963-12-13
sumula 280, Por ofensa a direito local não cabe recurso extraordinário. ,1963-12-13
sumula 281," É inadmissível o recurso extraordinário, quando couber na Justiça de origem, recurso ordinário da decisão impugnada.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 284," É inadmissível o recurso extraordinário, quando a deficiência na sua fundamentação não permitir a exata compreensão da controvérsia.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 286," Não se conhece do recurso extraordinário fundado em divergência jurisprudencial, quando a orientação do plenário do Supremo Tribunal Federal já se firmou no mesmo sentido da decisão recorrida.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 288," Nega-se provimento a agravo para subida de recurso extraordinário, quando faltar no traslado o despacho agravado, a decisão recorrida, a petição de recurso extraordinário ou qualquer peça essencial à compreensão da controvérsia. ",1963-12-13
sumula 289," O provimento do agravo por uma das Turmas do Supremo Tribunal Federal ainda que sem ressalva, não prejudica a questão do cabimento do recurso extraordinário. ",1963-12-13
sumula 290," Nos embargos da L. 623, de 19.2.49, a prova de divergência far-se-á por certidão, ou mediante indicação do Diário da Justiça ou de repertório de jurisprudência autorizado, que a tenha publicado, com a transcrição do trecho que configure a divergência, mencionadas as circunstâncias que identifiquem ou assemelhem os casos confrontados. ",1963-12-13
sumula 291," No recurso extraordinário pela letra d do art. 101, n. III, da Constituição, a prova do dissídio jurisprudencial far-se-á por certidão, ou mediante indicação do Diário da Justiça ou de repertório de jurisprudência autorizado, com a transcrição do trecho que configure a divergência, mencionadas as circunstâncias que identifiquem ou assemelhem os casos confrontados.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 293, São inadmissíveis embargos infringentes contra decisão em matéria constitucional submetida ao plenário dos Tribunais. ,1963-12-13
sumula 294, São inadmissíveis embargos infringentes contra decisão do Supremo Tribunal Federal em mandado de segurança.  Data de Aprovação Sessão Plenária de ,1963-12-13
sumula 296," São inadmissíveis embargos infringentes sôbre matéria não ventilada, pela Turma, no julgamento do recurso extraordinário. ",1963-12-13
sumula 297," Oficiais e praças das milícias dos Estados, no exercício de função policial civil, não são considerados militares para efeitos penais, sendo competente a Justiça comum para julgar os crimes cometidos por ou contra êles.  Data de Aprovação Sessão Plenária de ",1963-12-13
sumula 299," O recurso ordinário e o extraordinário interpostos no mesmo processo de mandado de segurança, ou de habeas corpus, serão julgados conjuntamente pelo Tribunal Pleno. ",1963-12-13
sumula 300," São incabíveis os embargos da L. 623, de 19.2.49, contra provimento de agravo para subida de recurso extraordinário. ",1963-12-13
sumula 301," Por crime de responsabilidade, o procedimento penal contra Prefeito Municipal fica condicionado ao seu afastamento do cargo por impeachment, ou à cessação do exercício por outro motivo. (Cancelada) ",1963-12-13
sumula 302, Está isenta da taxa de previdência social a importação de petróleo bruto. ,1963-12-13
sumula 303," Não é devido o impôsto federal de sêlo em contrato firmado com autarquia anteriormente à vigência da Emenda Constitucional nº 5, de 21.11.61. ",1963-12-13
sumula 304," Decisão denegatória de mandado de segurança, não fazendo coisa julgada contra o impetrante, não impede o uso da ação própria. ",1963-12-13
sumula 305, Acordo de desquite ratificado por ambos os cônjuges não é retratável unilateralmente. ,1963-12-13
sumula 306," As taxas de recuperação econômica e de assistência hospitalar de Minas Gerais são legítimas, quando incidem sôbre matéria tributável pelo Estado. ",1963-12-13
sumula 307," É devido o adicional de serviço insalubre, calculado à base do salário mínimo da região, ainda que a remuneração contratual seja superior ao salário mínimo acrescido da taxa de insalubridade. ",1963-12-13
sumula 308," A taxa de despacho aduaneiro, sendo adicional do impôsto de importação, não incide sôbre borracha importada com isenção daquele impôsto. ",1963-12-13
sumula 309," A taxa de despacho aduaneiro, sendo adicional do impôsto de importação, não está compreendida na isenção do impôsto de consumo para automóvel usado trazido do exterior pelo proprietário. ",1963-12-13
sumula 310," Quando a intimação tiver lugar na sexta-feira, ou a publicação com efeito de intimação fôr feita nesse dia, o prazo judicial terá início na segunda-feira imediata, salvo se não houver expediente, caso em que começará no primeiro dia útil que se seguir. ",1963-12-13
sumula 311," No típico acidente do trabalho, a existência de ação judicial não exclui a multa pelo retardamento da liquidação. ",1963-12-13
sumula 312," Músico integrante de orquestra da emprêsa, com atuação permanente e vínculo de subordinação, está sujeito a legislação geral do trabalho, e não à especial dos artistas. ",1963-12-13
sumula 313," Provada a identidade entre o trabalho diurno e o noturno, é devido o adicional, quanto a este, sem a limitação do art. 73, § 3º, da C.L.T., independentemente da natureza da atividade do empregador. ",1963-12-13
sumula 314," Na composição do dano por acidente do trabalho, ou de transporte, não é contrário à lei tomar para base da indenização o salário do tempo da perícia ou da sentença. ",1963-12-13
sumula 315," Indispensável o traslado das razões da revista, para julgamento, pelo Tribunal Superior do Trabalho, do agravo para sua admissão. ",1963-12-13
sumula 316, A simples adesão a greve não constitui falta grave.,1963-12-13
sumula 317," São improcedentes os embargos declaratórios, quando não pedida a declaração do julgado anterior, em que se verificou a omissão.",1963-12-13
sumula 318," É legítima a cobrança, em 1962, pela municipalidade de São Paulo, do impôsto de indústrias e profissões, consoante as leis 5.917 e 5.919, de 1961 (aumento anterior à vigência do orçamento e incidência do tributo sôbre o movimento econômico do contribuinte). ",1963-12-13
sumula 319," O prazo do recurso ordinário para o Supremo Tribunal Federal, em habeas corpus ou mandado de segurança, é de cinco dias. ",1963-12-13
sumula 320," A apelação despachada pelo juiz no prazo legal não fica prejudicada pela demora da juntada, por culpa do cartório. ",1963-12-13
sumula 321, A constituição estadual pode estabelecer a irredutibilidade dos vencimentos do Ministério Público. ,1963-12-13
sumula 322," Não terá seguimento pedido ou recurso dirigido ao Supremo Tribunal Federal, quando manifestamente incabível, ou apresentado fora do prazo, ou quando for evidente a incompetência do Tribunal. ",1963-12-13
sumula 323, É inadmissível a apreensão de mercadorias como meio coercitivo para pagamento de tributos. ,1963-12-13
sumula 324," A imunidade do art. 31, V, da Constituição Federal não compreende as taxas. ",1963-12-13
sumula 325," As emendas ao regimento do Supremo Tribunal Federal, sôbre julgamento de questão constitucional, 	aplicam-se 	aos 	pedidos 	ajuizados 	e 	aos 	recursos 	interpostos anteriormente a sua aprovação. ",1963-12-13
sumula 326, É legítima a incidência do impôsto de transmissão inter vivos sôbre a transferência do domínio útil. ,1963-12-13
sumula 327, O direito trabalhista admite a prescrição intercorrente. ,1963-12-13
sumula 328, É legítima a incidência do impôsto de transmissão inter vivos sôbre a doação de imóvel. ,1963-12-13
sumula 329, O impôsto de transmissão inter vivos não incide sôbre a transferência de ações de sociedade imobiliária. ,1963-12-13
sumula 330, O Supremo Tribunal Federal não é competente para conhecer de mandado de segurança contra atos dos Tribunais de Justiça dos Estados. ,1963-12-13
sumula 331, É legítima a incidência do impôsto de transmissão causa mortis no inventário por morte presumida.,1963-12-13
sumula 332, É legítima a incidência do impôsto de vendas e consignações sôbre a parcela do preço correspondente aos ágios cambiais.,1963-12-13
sumula 333, Está sujeita ao impôsto de vendas e consignações a venda realizada por invernista não qualificado como pequeno produtor.,1963-12-13
sumula 334," É legítima a cobrança, ao empreiteiro, do impôsto de vendas e consignações, sôbre o valor dos materiais empregados, quando a empreitada não for apenas de lavor.",1963-12-13
sumula 335, É válida a cláusula de eleição do fôro para os processos oriundos do contrato.,1963-12-13
sumula 336," A imunidade da autarquia financiadora, quanto ao contrato de financiamento, não se estende à compra e venda entre particulares, embora constantes os dois atos de um só instrumento.",1963-12-13
sumula 337, A controvérsia entre o empregador e o segurador não suspende o pagamento devido ao empregado por acidente do trabalho.,1963-12-13
sumula 338, Não cabe ação rescisória no âmbito da justiça do trabalho.,1963-12-13
sumula 339," Não cabe ao Poder Judiciário, que não tem função legislativa, aumentar vencimentos de servidores públicos sob fundamento de isonomia. ",1963-12-13
sumula 340," Desde a vigência do Código Civil, os bens dominicais, como os demais bens públicos, não podem ser adquiridos por usucapião. ",1963-12-13
sumula 341, É presumida a culpa do patrão ou comitente pelo ato culposo do empregado ou preposto. ,1963-12-13
sumula 342," Cabe agravo no auto do processo, e não agravo de petição, do despacho que não admite a reconvenção. ",1963-12-13
sumula 343," Não cabe ação rescisória por ofensa a literal disposição de lei, quando a decisão rescindenda se tiver baseado em texto legal de interpretação controvertida nos tribunais. ",1963-12-13
sumula 344," Sentença de primeira instância concessiva de habeas corpus, em caso de crime praticado em detrimento de bens, serviços ou interesses da União, está sujeita a recurso ex officio. ",1963-12-13
sumula 345," Na chamada desapropriação indireta, os juros compensatórios são devidos a partir da perícia, desde que tenha atribuído valor atual ao imóvel. ",1963-12-13
sumula 346, A administração pública pode declarar a nulidade dos seus próprios atos. ,1963-12-13
sumula 347," O Tribunal de Contas, no exercício de suas atribuições, pode apreciar a constitucionalidade das leis e dos atos do poder público.",1963-12-13
sumula 348," É constitucional a criação de taxa de construção, conservação e melhoramento de estradas.",1963-12-13
sumula 349," A prescrição atinge somente as prestações de mais de dois anos, reclamadas com fundamento em decisão normativa da Justiça do Trabalho, ou em convenção coletiva de trabalho, quando não estiver em causa a própria validade de tais atos.",1963-12-13
sumula 350," O impôsto de indústrias e profissões não é exigível de empregado, por falta de autonomia na sua atividade profissional. ",1963-12-13
sumula 351, É nula a citação por edital de réu prêso na mesma unidade da Federação em que o juiz exerce a sua jurisdição. ,1963-12-13
sumula 352, Não é nulo o processo penal por falta de nomeação de curador ao réu menor que teve a assistência de defensor dativo. ,1963-12-13
sumula 353," São incabíveis os embargos da L. 623, de 19.2.49, com fundamento em divergência entre decisões da mesma Turma do Supremo Tribunal Federal. ",1963-12-13
sumula 354," Em caso de embargos infringentes parciais, é definitiva a parte da decisão embargada em que não houve divergência na votação. ",1963-12-13
sumula 355," Em caso de embargos infringentes parciais, é tardio o recurso extraordinário interposto após o julgamento dos embargos, quanto à parte da decisão embargada que não fôra por eles abrangida. ",1963-12-13
sumula 356," O ponto omisso da decisão, sôbre o qual não foram opostos embargos declaratórios, não pode ser objeto de recurso extraordinário, por faltar o requisito do prequestionamento. ",1963-12-13
sumula 357," É lícita a convenção pela qual o locador renuncia, durante a vigência do contrato, à ação revisional do art. 31 do Decreto 24.150, de 20.4.34. ",1963-12-13
sumula 358, O servidor público em disponibilidade tem direito aos vencimentos integrais do cargo. ,1963-12-13
sumula 359," Ressalvada a revisão prevista em lei, os proventos da inatividade regulam-se pela lei vigente ao tempo em que o militar, ou o servidor civil, reuniu os requisitos necessários. (Alterada) ",1963-12-13
sumula 360," Não há prazo de decadência para a representação de inconstitucionalidade prevista no art. 8º, parágrafo único, da Constituição Federal. ",1963-12-13
sumula 361," No processo penal, é nulo o exame realizado por um só perito, considerando-se impedido o que tiver funcionado, anteriormente, na diligência de apreensão. ",1963-12-13
sumula 362, A condição de ter o clube sede própria para a prática de jôgo lícito não o obriga a ser proprietário do imóvel em que tem sede. ,1963-12-13
sumula 363," A pessoa jurídica de direito privado pode ser demandada no domicílio da agência, ou estabelecimento, em que se praticou o ato. ",1963-12-13
sumula 364," Enquanto o Estado da Guanabara não tiver Tribunal Militar de segunda instância, o Tribunal de Justiça é competente para julgar os recursos das decisões da auditoria da Polícia Militar. ",1963-12-13
sumula 365, Pessoa jurídica não tem legitimidade para propor ação popular. ,1963-12-13
sumula 366," Não é nula a citação por edital que indica o dispositivo da lei penal, embora não transcreva a denúncia ou queixa, ou não resuma os fatos em que se baseia. ",1963-12-13
sumula 367," Concede-se liberdade ao extraditando que não fôr retirado do país no prazo do art. 16 do Decreto-lei. 394, de 28.4.38. ",1963-12-13
sumula 368, Não há embargos infringentes no processo de reclamação. ,1963-12-13
sumula 369, Julgados do mesmo Tribunal não servem para fundamentar o recurso extraordinário por divergência jurisprudencial. ,1963-12-13
sumula 370," Julgada improcedente a ação renovatória da locação, terá o locatário, para desocupar o imóvel, o prazo de seis meses, acrescido de tantos meses quantos forem os anos da ocupação, até o limite total de dezoito meses. ",1963-12-13
sumula 371," Ferroviário, que foi admitido como servidor autárquico, não tem direito a dupla aposentadoria. ",1964-04-03
sumula 372," A L. 2.752, de 10.4.56, sôbre dupla aposentadoria, aproveita, quando couber, a servidores aposentados antes de sua publicação.  Data de Aprovação Sessão Plenária de ",1964-04-03
sumula 374," Na retomada para construção mais útil, não é necessário que a obra tenha sido ordenada pela autoridade pública. ",1964-04-03
sumula 375," Não renovada a locação regida pelo D. 24.150, de 20.4.34, aplica-se o direito comum e não a legislação especial do inquilinato. ",1964-04-03
sumula 376," Na renovação de locação, regida pelo D. 24.150, de 20.4.34, o prazo do nôvo contrato conta-se da transcrição da decisão exequenda no Registro de Títulos e Documentos; começa, porém, da terminação do contrato anterior, se esta tiver ocorrido antes do registro. ",1964-04-03
sumula 377," No regime de separação legal de bens, comunicam-se os adquiridos na constância do casamento. ",1964-04-03
sumula 378, Na indenização por desapropriação incluem-se honorários do advogado do expropriado. ,1964-04-03
sumula 379," No acôrdo de desquite não se admite renúncia aos alimentos, que poderão ser pleiteados ulteriormente, verificados os pressupostos legais. ",1964-04-03
sumula 380," Comprovada a existência de sociedade de fato entre os concubinos, é cabível a sua dissolução judicial, com a partilha do patrimônio adquirido pelo esfôrço comum. ",1964-04-03
sumula 381," Não se homologa sentença de divórcio obtida, por procuração, em país de que os cônjuges não eram nacionais. ",1964-04-03
sumula 382," A vida em comum sob o mesmo teto, more uxorio, não é indispensável à caracterização do concubinato. ",1964-04-03
sumula 383," A prescrição em favor da Fazenda Pública recomeça a correr, por dois anos e meio, a partir do ato interruptivo, mas não fica reduzida aquém de cinco anos, embora o titular do direito a interrompa durante a primeira metade do prazo. ",1964-04-03
sumula 384," A demissão de extranumerário do serviço público federal, equiparado a funcionário de provimento efetivo para efeito de estabilidade, é da competência do Presidente da República. ",1964-04-03
sumula 385," Oficial das Fôrças Armadas só pode ser reformado, em tempo de paz, por decisão de tribunal militar permanente, ressalvada a situação especial dos atingidos pelo art. 177 da Constituição de 1937. ",1964-04-03
sumula 386," Pela execução de obra musical por artistas remunerados é devido direito autoral, não exigível quando a orquestra fôr de amadores. ",1964-04-03
sumula 387," A cambial emitida ou aceita com omissões, ou em branco, pode ser completada pelo credor de boa-fé antes da cobrança ou do protesto. ",1964-04-03
sumula 388," O casamento da ofendida com quem não seja o ofensor faz cessar a qualidade do seu representante legal, e a ação penal só pode prosseguir por iniciativa da própria ofendida, observados os prazos legais de decadência e perempção. (Revogada) ",1964-04-03
sumula 389," Salvo limite legal, a fixação de honorários de advogado, em complemento da condenação, depende das circunstâncias da causa, não dando lugar a recurso extraordinário. ",1964-04-03
sumula 390, A exibição judicial de livros comerciais pode ser requerida como medida preventiva. ,1964-04-03
sumula 391," O confinante certo deve ser citado, pessoalmente, para a ação de usucapião. ",1964-04-03
sumula 392," O prazo para recorrer de acórdão concessivo de segurança conta-se da publicação oficial de suas conclusões, e não da anterior ciência à autoridade para cumprimento da decisão. ",1964-04-03
sumula 393," Para requerer revisão criminal, o condenado não é obrigado a recolher-se à prisão. ",1964-04-03
sumula 394," Cometido o crime durante o exercício funcional, prevalece a competência especial por prerrogativa de função, ainda que o inquérito ou a ação penal sejam iniciados após a cessação daquele exercício. (Cancelada) ",1964-04-03
sumula 395," Não se conhece de recurso de habeas corpus cujo objeto seja resolver sôbre o ônus das custas, por não estar mais em causa a liberdade de locomoção. ",1964-04-03
sumula 396," Para a ação penal por ofensa à honra, sendo admissível a exceção da verdade quanto ao desempenho de função pública, prevalece a competência especial por prerrogativa de função, ainda que já tenha cessado o exercício funcional do ofendido. ",1964-04-03
sumula 397," O poder de polícia da Câmara dos Deputados e do Senado Federal, em caso de crime cometido nas suas dependências, compreende, consoante o regimento, a prisão em flagrante do acusado e a realização do inquérito. Data de Aprovação Sessão Plenária de ",1964-04-03
sumula 399," Não cabe recurso extraordinário, por violação de lei federal, quando a ofensa alegada fôr a regimento de tribunal.  Data de Aprovação Sessão Plenária de ",1964-04-03
sumula 401," Não se conhece do recurso de revista, nem dos embargos de divergência, do processo trabalhista, quando houver jurisprudência firme do Tribunal Superior do Trabalho no mesmo sentido da decisão impugnada, salvo se houver colisão com a jurisprudência do Supremo Tribunal Federal.  Data de Aprovação Sessão Plenária de ",1964-04-03
sumula 403," É de decadência o prazo de trinta dias para instauração do inquérito judicial, a contar da suspensão, por falta grave, de empregado estável. ",1964-04-03
sumula 404," Não contrariam a Constituição os arts 3º, 22 e 27 da L. 3.244, de 14.8.57, que definem as atribuições do Conselho de Política Aduaneira quanto à tarifa flexível. ",1964-04-03
sumula 405," Denegado o mandado de segurança pela sentença, ou no julgamento do agravo, dela interposto, fica sem efeito a liminar concedida, retroagindo os efeitos da decisão contrária. ",1964-06-01
sumula 406," O estudante ou professor bolsista e o servidor público em missão de estudo satisfazem a condição da mudança de residência para o efeito de trazer automóvel do exterior, atendidos os demais requisitos legais. ",1964-06-01
sumula 407," Não tem direito ao têrço de campanha o militar que não participou de operações de guerra, embora servisse na ""zona de guerra"". ",1964-06-01
sumula 408, Os servidores fazendários não têm direito a percentagem pela arrecadação de receita federal destinada ao Banco Nacional de Desenvolvimento Econômico. ,1964-06-01
sumula 409," Ao retomante, que tenha mais de um prédio alugado, cabe optar entre eles, salvo abuso de direito. ",1964-06-01
sumula 410," Se o locador, utilizando prédio próprio para residência ou atividade comercial, pede o imóvel locado para uso próprio, diverso do que tem o por ele ocupado, não está obrigado a provar a necessidade, que se presume. ",1964-06-01
sumula 411, O locatário autorizado a ceder a locação pode sublocar o imóvel. ,1964-06-01
sumula 412," No compromisso de compra e venda com cláusula de arrependimento, a devolução do sinal, por quem o deu, ou a sua restituição em dôbro, por quem o recebeu, exclui indenização maior, a título de perdas e danos, salvo os juros moratórios e os encargos do processo.  Data de Aprovação Sessão Plenária de ",1964-06-01
sumula 414," Não se distingue a visão direta da oblíqua na proibição de abrir janela, ou fazer terraço, eirado, ou varanda, a menos de metro e meio do prédio de outrem. ",1964-06-01
sumula 415," Servidão de trânsito não titulada, mas tornada permanente, sobretudo pela natureza das obras realizadas, considera-se aparente, conferindo direito à proteção possessória.",1964-06-01
sumula 416, Pela demora no pagamento do preço da desapropriação não cabe indenização complementar além dos juros. Data de Aprovação Sessão Plenária de ,1964-06-01
sumula 418," O empréstimo compulsório não é tributo, e sua arrecadação não está sujeita à exigência constitucional da prévia autorização orçamentária. ",1964-06-01
sumula 419," Os Municípios têm competência para regular o horário do comércio local, desde que não infrinjam leis estaduais ou federais válidas. ",1964-06-01
sumula 420, Não se homologa sentença proferida no estrangeiro sem prova do trânsito em julgado. ,1964-06-01
sumula 421, Não impede a extradição a circunstância de ser o extraditando casado com brasileira ou ter filho brasileiro. ,1964-06-01
sumula 422," A absolvição criminal não prejudica a medida de segurança, quando couber, ainda que importe privação da liberdade. ",1964-06-01
sumula 423," Não transita em julgado a sentença por haver omitido o recurso ex officio, que se considera interposto ex lege. ",1964-06-01
sumula 424," Transita em julgado o despacho saneador de que não houve recurso, excluídas as questões deixadas, explícita ou implicitamente, para a sentença. ",1964-06-01
sumula 425," O agravo despachado no prazo legal não fica prejudicado pela demora da juntada, por culpa do cartório; nem o agravo entregue em cartório no prazo legal, embora despachado tardiamente. ",1964-06-01
sumula 426," A falta do termo específico não prejudica o agravo no auto do processo, quando oportuna a interposição por petição ou no têrmo da audiência. ",1964-06-01
sumula 427, A falta de petição de interposição não prejudica o agravo no auto do processo tomado por têrmo. ,1964-06-01
sumula 428," Não fica prejudicada a apelação entregue em cartório no prazo legal, embora despachada tardiamente. ",1964-06-01
sumula 429, A existência de recurso administrativo com efeito suspensivo não impede o uso do mandado de segurança contra omissão da autoridade. ,1964-06-01
sumula 430, Pedido de reconsideração na via administrativa não interrompe o prazo para o mandado de segurança. ,1964-06-01
sumula 431," É nulo o julgamento de recurso criminal, na segunda instância, sem prévia intimação, ou publicação da pauta, salvo em habeas corpus. ",1964-06-01
sumula 432," Não cabe recurso extraordinário com fundamento no art. 101, III, d, da Constituição Federal, quando a divergência alegada fôr entre decisões da Justiça do Trabalho. ",1964-06-01
sumula 433, É competente o Tribunal Regional do Trabalho para julgar mandado de segurança contra ato de seu presidente em execução de sentença trabalhista. ,1964-06-01
sumula 434, A controvérsia entre seguradores indicados pelo empregador na ação de acidente do trabalho não suspende o pagamento devido ao acidentado. ,1964-06-01
sumula 435, O impôsto de transmissão causa mortis pela transferência de ações é devido ao Estado em que tem sede a companhia. ,1964-06-01
sumula 436," É válida a L. 4.093, de 24.10.959, do Paraná, que revogou a isenção concedida às cooperativas por lei anterior. ",1964-06-01
sumula 437," Está isenta da taxa de despacho aduaneiro a importação de equipamento para a indústria automobilística, segundo plano aprovado, no prazo legal, pelo órgão competente.  Data de Aprovação Sessão Plenária de ",1964-06-01
sumula 439," Estão sujeitos à fiscalização tributária ou previdenciária quaisquer livros comerciais, limitado o exame aos pontos objeto da investigação. ",1964-10-01
sumula 440," Os benefícios da legislação federal de serviços de guerra não são exigíveis dos Estados, sem que a lei estadual assim disponha. ",1964-10-01
sumula 441," O militar, que passa à inatividade com proventos integrais, não tem direito às cotas trigésimas a que se refere o Código de Vencimentos e Vantagens dos Militares. ",1964-10-01
sumula 442," A inscrição do contrato de locação no Registro de Imóveis, para a validade da cláusula de vigência contra o adquirente do imóvel, ou perante terceiros, dispensa a transcrição no Registro de Títulos e Documentos.",1964-10-01
sumula 443," A prescrição das prestações anteriores ao período previsto em lei não ocorre, quando não tiver sido negado, antes daquele prazo, o próprio direito reclamado, ou a situação jurídica de que êle resulta. ",1964-10-01
sumula 444," Na retomada para construção mais útil, de imóvel sujeito ao D. 24.150, de 20.4.34, a indenização se limita às despesas de mudança. ",1964-10-01
sumula 445," A L. 2.437, de 7.3.55, que reduz prazo prescricional, é aplicável às prescrições em curso na data de sua vigência (1.1.56), salvo quanto aos processos então pendentes.  Data de Aprovação Sessão Plenária de ",1964-10-01
sumula 447, É válida a disposição testamentária em favor de filho adulterino do testador com sua concubina.  Data de Aprovação Sessão Plenária de ,1964-10-01
sumula 449," O valor da causa, na consignatória de aluguel, corresponde a uma anuidade.  Data de Aprovação Sessão Plenária de ",1964-10-01
sumula 451, A competência especial por prerrogativa de função não se estende ao crime cometido após a cessação definitiva do exercício funcional. ,1964-10-01
sumula 452," Oficiais e praças do Corpo de Bombeiros do Estado da Guanabara respondem perante a Justiça Comum por crime anterior à L. 427, de 11.10.48. ",1964-10-01
sumula 453," Não se aplicam à segunda instância o art. 384 e parágrafo único do Código de Processo Penal, que possibilitam dar nova definição jurídica ao fato delituoso, em virtude de circunstância elementar não contida, explícita ou implicitamente, na denúncia ou queixa. ",1964-10-01
sumula 454, Simples interpretação de cláusulas contratuais não dá lugar a recurso extraordinário. ,1964-10-01
sumula 455," Da decisão que se seguir ao julgamento de constitucionalidade pelo Tribunal Pleno, são inadmissíveis embargos infringentes quanto à matéria constitucional. ",1964-10-01
sumula 456," O Supremo Tribunal Federal, conhecendo do recurso extraordinário, julgará a causa, aplicando o direito à espécie. ",1964-10-01
sumula 457," O Tribunal Superior do Trabalho, conhecendo da revista, julgará a causa, aplicando o direito à espécie. ",1964-10-01
sumula 458, O processo da execução trabalhista não exclui a remição pelo executado. ,1964-10-01
sumula 459," No cálculo da indenização por despedida injusta, incluem-se os adicionais, ou gratificações, que, pela habitualidade, se tenham incorporado ao salário. ",1964-10-01
sumula 460," Para efeito do adicional de insalubridade, a perícia judicial, em reclamação trabalhista, não dispensa o enquadramento da atividade entre as insalubres, que é ato da competência do Ministro do Trabalho e Previdência Social. ",1964-10-01
sumula 461," É duplo, e não triplo, o pagamento do salário nos dias destinados a descanso. ",1964-10-01
sumula 462," No cálculo da indenização por despedida injusta inclui-se, quando devido, o repouso semanal remunerado. ",1964-10-01
sumula 463," Para efeito de indenização e estabilidade, conta-se o tempo em que o empregado esteve afastado, em serviço militar obrigatório, mesmo anteriormente à L. 4.072, de 1.6.62. ",1964-10-01
sumula 464," No cálculo da indenização por acidente do trabalho inclui-se, quando devido, o repouso semanal remunerado. ",1964-10-01
